qty_dot_url,directory_length,time_domain_activation,qty_slash_directory,length_url,domain_length,asn_ip,qty_slash_url,qty_dot_domain,qty_vowels_domain,file_length
3,10,-1,1,39,29,-1,1,2,10,9
1,40,1099,2,52,12,55293,2,1,2,32
3,16,-1,4,43,27,38719,4,3,9,5
4,13,-1,1,80,32,-1,1,3,7,12
3,124,-1,4,180,31,-1,4,3,10,108
4,19,-1,2,61,42,4906,2,3,8,10
11,9,-1,2,141,36,-1,4,8,3,0
2,34,551,3,46,12,37353,3,1,5,22
2,11,-1,1,35,24,-1,1,1,9,10
4,52,-1,4,88,25,-1,4,3,6,10
2,-1,-1,-1,32,32,1241,0,2,7,-1
2,27,-1,4,41,14,24940,4,1,4,9
1,29,397,3,44,15,37353,3,1,5,18
2,47,-1,7,70,23,-1,7,2,8,4
3,25,78,3,42,17,-1,3,3,3,7
10,96,-1,5,111,15,-1,5,2,4,17
1,106,1917,9,114,8,12824,9,1,1,25
4,28,-1,3,42,14,36352,3,3,0,17
4,46,-1,4,63,17,-1,4,1,5,9
3,13,-1,1,101,46,16276,1,2,11,12
3,70,-1,3,92,22,-1,3,1,6,32
3,42,-1,5,78,36,47583,5,2,13,18
5,25,-1,2,103,78,-1,2,5,26,5
5,48,-1,3,91,43,32244,3,4,15,10
1,-1,-1,-1,21,21,-1,0,1,7,-1
4,10,-1,1,38,28,-1,1,3,6,9
2,-1,-1,-1,30,30,23033,0,2,7,-1
1,21,6671,3,35,14,20013,3,1,6,6
1,-1,-1,-1,14,14,-1,0,1,4,-1
4,20,-1,2,80,49,4906,2,3,17,16
2,11,-1,1,23,12,-1,1,1,3,10
2,-1,-1,-1,26,26,-1,0,2,10,-1
2,7,-1,1,21,14,40676,1,2,4,6
3,18,-1,2,59,41,-1,2,2,6,12
2,11,537,1,27,16,6724,1,1,5,10
4,-1,-1,-1,47,47,15169,0,4,14,-1
2,-1,-1,-1,40,40,14618,0,2,13,-1
3,18,-1,2,32,14,-1,2,2,4,9
3,83,-1,10,99,16,-1,10,3,4,7
5,69,2373,5,85,16,-1,5,1,6,20
2,46,3099,5,82,20,46606,5,1,5,9
2,10,-1,1,17,7,-1,1,1,1,9
1,62,-1,10,82,20,-1,10,1,9,4
5,4,-1,1,44,40,-1,1,2,14,3
1,21,17,2,39,18,-1,2,1,6,9
2,34,616,2,118,18,-1,2,1,5,9
5,56,-1,5,105,16,-1,5,2,4,9
7,72,5405,4,376,17,21064,5,1,5,13
5,28,-1,1,61,33,-1,1,5,9,27
1,7,-1,2,27,20,-1,2,1,8,2
1,-1,356,-1,13,13,-1,0,1,5,-1
3,12,-1,1,38,26,-1,1,2,8,11
2,21,-1,3,43,22,-1,3,1,8,10
9,112,1967,6,131,19,-1,6,1,9,7
1,46,1736,8,75,29,30693,8,1,9,3
2,15,634,1,36,21,394695,1,1,8,14
8,60,-1,4,118,41,-1,4,4,16,9
1,19,4799,1,36,17,46606,1,1,6,18
3,23,-1,3,64,41,-1,3,2,15,12
1,19,230,3,34,15,-1,3,1,4,5
1,28,397,4,43,15,37353,4,1,5,4
3,41,-1,3,59,18,-1,3,2,5,16
